timestamp,game_id,white_player,black_player,result,total_moves,white_pieces_final,black_pieces_final,total_time_s,avg_time_per_move_s,white_avg_time_s,black_avg_time_s,white_avg_nodes,black_avg_nodes,white_avg_depth,black_avg_depth,notes,moves_count
2026-03-10 17:10:36,b0e74dea,h1-Material,h3-Completa,DRAW,106,4,1,6.132257261999257,0.057851483603766574,0.05653042528307917,0.059086310339704864,1797,1144,5,5,Partida 1 de 20 do torneio,0
2026-03-10 17:10:41,6c9e198f,h3-Completa,h1-Material,DRAW,79,1,2,4.659234433000165,0.058977651050635,0.056950480250043255,0.06098163805122917,1283,2042,6,7,Partida 2 de 20 do torneio,0
2026-03-10 17:10:44,7fc3ecb8,h1-Material,h3-Completa,WHITE_WIN,59,3,1,3.1834437979996437,0.05395667454236684,0.055242008466636135,0.05252624389655027,1301,769,12,14,Partida 3 de 20 do torneio,0
2026-03-10 17:10:49,24fade20,h3-Completa,h1-Material,DRAW,84,1,4,4.77395419000004,0.05683278797619096,0.06124733507154122,0.0523234367381606,1048,1545,5,6,Partida 4 de 20 do torneio,0
2026-03-10 17:10:51,59ff02da,h1-Material,h3-Completa,WHITE_WIN,53,3,0,2.7608377599999585,0.05209127849056525,0.04933795448148346,0.05488002861543114,1477,1029,11,10,Partida 5 de 20 do torneio,0
2026-03-10 17:10:55,9f296ea3,h3-Completa,h1-Material,WHITE_WIN,69,2,0,3.618526881999969,0.0524424185797097,0.053581174256968164,0.05120462682348529,1176,1800,9,12,Partida 6 de 20 do torneio,0
2026-03-10 17:10:58,60eb9f20,h1-Material,h3-Completa,WHITE_WIN,65,3,0,3.4988112780001757,0.053827865815387316,0.051981579545457804,0.05566432046873615,1682,1099,10,9,Partida 7 de 20 do torneio,0
2026-03-10 17:11:01,40877919,h3-Completa,h1-Material,WHITE_WIN,51,6,0,2.792918537999867,0.05476310858823269,0.0551803523077559,0.054249227919935944,937,1544,8,9,Partida 8 de 20 do torneio,0
2026-03-10 17:11:05,5e2069b8,h1-Material,h3-Completa,WHITE_WIN,61,2,0,3.520422361999408,0.0577118419999903,0.06098596364523884,0.05426648693337484,1816,1201,11,13,Partida 9 de 20 do torneio,0
2026-03-10 17:11:08,ac4cfdf6,h3-Completa,h1-Material,WHITE_WIN,57,4,0,2.986875957999473,0.052401332596481984,0.05410699237936883,0.05056675989278249,1056,1621,10,11,Partida 10 de 20 do torneio,0
2026-03-10 17:11:12,e634e8cd,h1-Material,h3-Completa,DRAW,67,4,3,3.835691246999886,0.05724912308955054,0.05594620173523628,0.05852141360603789,1815,1157,7,5,Partida 11 de 20 do torneio,0
2026-03-10 17:11:16,8579d529,h3-Completa,h1-Material,DRAW,77,1,1,4.020374800000354,0.052212659740264344,0.05520899884611889,0.04907713368416616,1972,2306,9,16,Partida 12 de 20 do torneio,0
2026-03-10 17:11:19,bee4c0a4,h1-Material,h3-Completa,WHITE_WIN,67,2,0,3.474888299999293,0.05186400447760139,0.050771116441303416,0.05292252678778327,1562,1036,11,10,Partida 13 de 20 do torneio,0
2026-03-10 17:11:23,d1529c36,h3-Completa,h1-Material,BLACK_WIN,72,0,3,3.7091626459996405,0.051516147861106115,0.04937000583337673,0.053598535888846124,1001,1810,13,11,Partida 14 de 20 do torneio,0
2026-03-10 17:11:27,5aaba03a,h1-Material,h3-Completa,WHITE_WIN,71,3,0,3.8503636030000052,0.054230473281690214,0.052830499361157815,0.0555998526285943,1671,1035,9,7,Partida 15 de 20 do torneio,0
2026-03-10 17:11:33,342cce6f,h3-Completa,h1-Material,WHITE_WIN,101,1,0,5.923834846999853,0.05865183016831537,0.05680784613720308,0.06046450209996692,1252,1863,7,8,Partida 16 de 20 do torneio,0
2026-03-10 17:11:35,97d58b5b,h1-Material,h3-Completa,WHITE_WIN,53,3,0,2.786522179999338,0.05257589018866675,0.05021364399996215,0.05496256546155984,1692,1240,13,12,Partida 17 de 20 do torneio,0
2026-03-10 17:11:40,034746c0,h3-Completa,h1-Material,DRAW,90,1,2,5.0545715939997535,0.056161906599997265,0.05811823824440378,0.05414009557773372,1572,2200,6,8,Partida 18 de 20 do torneio,0
2026-03-10 17:11:45,587006fa,h1-Material,h3-Completa,DRAW,97,1,1,4.8882068749999235,0.05039388530927756,0.04555995059186267,0.055256111312568613,1977,1794,17,9,Partida 19 de 20 do torneio,0
2026-03-10 17:11:48,a615cf3a,h3-Completa,h1-Material,BLACK_WIN,48,0,4,2.6383117300001686,0.05496482770833685,0.05716062095829481,0.05267126900010529,812,1309,9,12,Partida 20 de 20 do torneio,0
