timestamp,game_id,white_player,black_player,result,total_moves,white_pieces_final,black_pieces_final,total_time_s,avg_time_per_move_s,white_avg_time_s,black_avg_time_s,white_avg_nodes,black_avg_nodes,white_avg_depth,black_avg_depth,notes,moves_count
2026-03-10 17:11:52,f658ea2c,h2-Posicional,h3-Completa,BLACK_WIN,78,0,2,4.215965485999732,0.054050839564099125,0.053340779435996244,0.05467512874365172,1147,946,10,9,Partida 1 de 20 do torneio,0
2026-03-10 17:11:56,8a77ad62,h3-Completa,h2-Posicional,DRAW,77,1,1,4.233692524000617,0.0549830197922158,0.05579952325642341,0.05406825394725514,1857,1977,13,15,Partida 2 de 20 do torneio,0
2026-03-10 17:12:00,35fe535d,h2-Posicional,h3-Completa,BLACK_WIN,62,0,3,3.271568364999439,0.052767231693539335,0.05019524990315873,0.05526555683859295,1213,1074,14,11,Partida 3 de 20 do torneio,0
2026-03-10 17:12:03,ab0cc2aa,h3-Completa,h2-Posicional,WHITE_WIN,49,3,0,3.5346655420007664,0.0721360314694034,0.058362756320020706,0.08637534979171353,771,920,9,10,Partida 4 de 20 do torneio,0
2026-03-10 17:12:09,72c6d4eb,h2-Posicional,h3-Completa,DRAW,95,2,1,5.505193017999773,0.05794940018947129,0.05608422004170658,0.05975949393617137,1405,1173,6,6,Partida 5 de 20 do torneio,0
2026-03-10 17:12:14,fde9f5d3,h3-Completa,h2-Posicional,DRAW,102,2,1,5.839305311000317,0.05724809128431683,0.05833774915683142,0.056055275980386295,994,1383,4,8,Partida 6 de 20 do torneio,0
2026-03-10 17:12:19,569dfe46,h2-Posicional,h3-Completa,DRAW,83,1,2,4.967081466000309,0.05984435501205192,0.05632203769049565,0.06335793119519732,1428,1238,7,5,Partida 7 de 20 do torneio,0
2026-03-10 17:12:24,cf4f6919,h3-Completa,h2-Posicional,BLACK_WIN,72,0,1,4.252987209999446,0.05906926680554787,0.06250736377789205,0.05551356013885803,795,975,6,6,Partida 8 de 20 do torneio,0
2026-03-10 17:12:26,a6049e2d,h2-Posicional,h3-Completa,WHITE_WIN,49,4,0,2.6471544030000587,0.054023559244899155,0.05625062052011345,0.05160011279159941,1041,711,13,12,Partida 9 de 20 do torneio,0
2026-03-10 17:12:30,936253bb,h3-Completa,h2-Posicional,BLACK_WIN,62,0,3,3.491343515999688,0.05631199219354335,0.056915588193606384,0.055604474257961556,790,970,13,11,Partida 10 de 20 do torneio,0
2026-03-10 17:12:33,ddc5bd18,h2-Posicional,h3-Completa,WHITE_WIN,47,5,0,2.804223498000283,0.05966432974468688,0.05538104195845032,0.06400945026092339,882,805,9,9,Partida 11 de 20 do torneio,0
2026-03-10 17:12:39,a232d0df,h3-Completa,h2-Posicional,BLACK_WIN,106,0,1,5.893025946999842,0.055594584405658884,0.05650265520757184,0.05461265356607671,1103,1658,8,7,Partida 12 de 20 do torneio,0
2026-03-10 17:12:44,e3376029,h2-Posicional,h3-Completa,WHITE_WIN,89,2,0,4.990916192000441,0.056077710022476863,0.05536397319992829,0.05672952377265326,1361,1053,6,5,Partida 13 de 20 do torneio,0
2026-03-10 17:12:46,5a8c4f51,h3-Completa,h2-Posicional,WHITE_WIN,51,5,0,2.6450047179996545,0.051862837607836366,0.055297605807551845,0.04817958276002173,754,859,11,14,Partida 14 de 20 do torneio,0
2026-03-10 17:12:50,b06b0a29,h2-Posicional,h3-Completa,WHITE_WIN,65,3,0,3.459005932999389,0.053215475892298296,0.05235014557574962,0.05401525334363555,1106,859,11,10,Partida 15 de 20 do torneio,0
2026-03-10 17:12:53,1dd90a94,h3-Completa,h2-Posicional,BLACK_WIN,62,0,3,3.609947474999899,0.05822495927419192,0.06111992954843557,0.055232705903167256,923,1142,6,8,Partida 16 de 20 do torneio,0
2026-03-10 17:12:58,9863a602,h2-Posicional,h3-Completa,BLACK_WIN,62,0,5,4.283822784000222,0.06909391587097131,0.05328284596775883,0.08479510116132823,936,841,12,8,Partida 17 de 20 do torneio,0
2026-03-10 17:13:02,eacd9e83,h3-Completa,h2-Posicional,DRAW,74,2,2,4.183396241999617,0.05653238164864347,0.05815238737840126,0.054834127405351984,1210,1480,6,7,Partida 18 de 20 do torneio,0
2026-03-10 17:13:06,3a078a6c,h2-Posicional,h3-Completa,DRAW,72,3,4,4.128816041999926,0.05734466724999897,0.056773801999977676,0.05783821786124261,1312,1020,5,5,Partida 19 de 20 do torneio,0
2026-03-10 17:13:09,a62314be,h3-Completa,h2-Posicional,BLACK_WIN,58,0,5,3.1285216899996158,0.05394002913792441,0.05667745965522421,0.05113436227581807,1113,1290,9,10,Partida 20 de 20 do torneio,0
