timestamp,game_id,white_player,black_player,result,total_moves,white_pieces_final,black_pieces_final,total_time_s,avg_time_per_move_s,white_avg_time_s,black_avg_time_s,white_avg_nodes,black_avg_nodes,white_avg_depth,black_avg_depth,notes,moves_count
2026-03-10 19:23:04,c02912bd,h1-Material,h3-Completa,DRAW,70,2,2,34.60175406399992,0.494310772342856,0.5063750857999983,0.4821768577428527,19288,12375,12,12,Partida 1 de 20 do torneio,0
2026-03-10 19:24:04,dd982330,h3-Completa,h1-Material,DRAW,119,1,1,59.78260080299992,0.5023747966638649,0.5103106639666654,0.4941944371186352,10571,14835,11,11,Partida 2 de 20 do torneio,0
2026-03-10 19:24:31,0751af60,h1-Material,h3-Completa,BLACK_WIN,64,0,1,27.64359533300012,0.4319311770781269,0.43021276918751283,0.4335641998750006,10853,9196,19,17,Partida 3 de 20 do torneio,0
2026-03-10 19:24:52,67b0c0a6,h3-Completa,h1-Material,BLACK_WIN,46,0,5,21.156968056000096,0.4599340881739151,0.4747275140000313,0.445054584043488,8619,12901,12,14,Partida 4 de 20 do torneio,0
2026-03-10 19:25:27,b5455a5d,h1-Material,h3-Completa,BLACK_WIN,82,0,2,34.74005644800013,0.42365922497561137,0.37538408495121495,0.4718377513902452,9648,8106,22,12,Partida 5 de 20 do torneio,0
2026-03-10 19:25:47,1f8cdcad,h3-Completa,h1-Material,WHITE_WIN,45,8,1,19.862513971,0.44138919935555554,0.43279552321740516,0.4502651648181923,6193,10822,15,14,Partida 6 de 20 do torneio,0
2026-03-10 19:26:13,cb1187c9,h1-Material,h3-Completa,WHITE_WIN,57,6,0,25.727045162000195,0.45135166950877537,0.4665687523447716,0.4355110482857348,12321,7754,17,15,Partida 7 de 20 do torneio,0
2026-03-10 19:26:51,fd5a3ec4,h3-Completa,h1-Material,WHITE_WIN,87,1,0,38.65258163699991,0.44428254755172314,0.45948136893181607,0.4286443206046633,9883,13593,13,16,Partida 8 de 20 do torneio,0
2026-03-10 19:27:19,29cfe166,h1-Material,h3-Completa,BLACK_WIN,58,0,2,27.487266699999964,0.47391839137930974,0.5012734972068646,0.4464874008275697,13148,8602,16,15,Partida 9 de 20 do torneio,0
2026-03-10 19:27:45,864e71d2,h3-Completa,h1-Material,WHITE_WIN,57,4,0,26.200487203999955,0.45965767024561327,0.4629209984137827,0.4561924317857152,8769,13822,13,14,Partida 10 de 20 do torneio,0
2026-03-10 19:28:07,3cf785a6,h1-Material,h3-Completa,WHITE_WIN,49,5,0,21.943148829999927,0.44781936387754956,0.4500816256800044,0.44536220920830755,12477,7746,14,15,Partida 11 de 20 do torneio,0
2026-03-10 19:28:30,9e3b3688,h3-Completa,h1-Material,WHITE_WIN,51,3,0,22.96780459899992,0.45034910978431214,0.44907941411536983,0.45157776204001493,8010,12260,15,16,Partida 12 de 20 do torneio,0
2026-03-10 19:29:15,65bf64c6,h1-Material,h3-Completa,DRAW,86,2,1,45.06193332499993,0.523975968895348,0.5464368312325775,0.5014188366278949,16196,11141,11,10,Partida 13 de 20 do torneio,0
2026-03-10 19:29:42,ce9bac42,h3-Completa,h1-Material,BLACK_WIN,60,1,3,26.635620976999917,0.4439270162833319,0.41932528789999046,0.4684031963333685,5739,9617,17,15,Partida 14 de 20 do torneio,0
2026-03-10 19:30:37,605aef2e,h1-Material,h3-Completa,DRAW,113,1,1,54.95423687799985,0.48632068033628184,0.47646965917545603,0.4962555695535603,19376,13394,14,15,Partida 15 de 20 do torneio,0
2026-03-10 19:30:56,7c6353bb,h3-Completa,h1-Material,WHITE_WIN,45,3,0,19.168942746999846,0.4259765054888855,0.4511082104782259,0.399623723954557,9364,11993,15,20,Partida 16 de 20 do torneio,0
2026-03-10 19:31:22,353a374a,h1-Material,h3-Completa,BLACK_WIN,56,0,4,26.550193518000015,0.4741105985357145,0.470527290357154,0.47761982746427684,15218,9609,14,11,Partida 17 de 20 do torneio,0
2026-03-10 19:31:48,0a4bcc4b,h3-Completa,h1-Material,WHITE_WIN,61,3,0,25.77696867999998,0.42257325704918003,0.4384742767096829,0.4060518412999727,8535,11236,17,19,Partida 18 de 20 do torneio,0
2026-03-10 19:32:30,3fadf84d,h1-Material,h3-Completa,DRAW,79,2,2,41.32776583299983,0.5231362763670865,0.5447041655499902,0.5009200142307854,14459,10319,12,10,Partida 19 de 20 do torneio,0
2026-03-10 19:33:09,ad964b3a,h3-Completa,h1-Material,DRAW,91,1,1,39.44998158399994,0.4335162811428565,0.4675151575217678,0.39869059368887366,15307,15319,15,20,Partida 20 de 20 do torneio,0
