move_number,player,move_notation,time_s,nodes_expanded,depth_reached,score,white_pieces,black_pieces
1,WHITE,"(5,6) → (4,7)",0.517882193999867,4228,6,0,12,12
2,BLACK,"(2,1) → (3,2)",0.513485118999597,7028,7,0,12,12
3,WHITE,"(5,4) → (4,3)",0.5008939460003603,5577,6,0,12,12
4,BLACK,"(3,2) → (5,4)",0.6584874010004569,10550,10,0,12,12
5,WHITE,"(6,3) → (4,5)",0.5873676199998954,7771,7,0,11,12
6,BLACK,"(2,5) → (3,6)",0.5871751519998725,10357,8,0,11,11
7,WHITE,"(4,7) → (2,5)",1.9134291860000303,27282,10,0,11,11
8,BLACK,"(1,4) → (5,4)",0.6129784550003023,11434,9,0,11,10
9,WHITE,"(6,5) → (4,3)",0.7251929219992235,9828,9,0,9,10
10,BLACK,"(2,3) → (3,2)",0.5395524510004179,9089,7,0,9,9
11,WHITE,"(4,3) → (2,1)",0.7455820370005313,9935,9,0,9,9
12,BLACK,"(1,0) → (3,2)",0.6863441290006449,9602,8,0,9,8
13,WHITE,"(7,4) → (6,3)",0.7161428139997952,9013,7,0,8,8
14,BLACK,"(1,6) → (2,5)",0.5285217690006903,9000,7,0,8,8
15,WHITE,"(5,2) → (4,3)",0.6793812820005769,9380,6,0,8,8
16,BLACK,"(3,2) → (5,4)",0.5273195729996587,9594,9,0,8,8
17,WHITE,"(6,3) → (4,5)",0.8778732959999616,10474,8,0,7,8
18,BLACK,"(2,5) → (3,6)",0.5232737970000017,9206,7,0,7,7
19,WHITE,"(4,5) → (3,4)",0.7083924159996968,8065,7,0,7,7
20,BLACK,"(0,5) → (1,6)",0.7742075810001552,12551,7,0,7,7
21,WHITE,"(6,1) → (5,2)",0.5167901230006464,9254,7,0,7,7
22,BLACK,"(0,3) → (1,4)",0.670000202000665,14476,7,0,7,7
23,WHITE,"(7,6) → (6,5)",0.5081758389997049,9477,7,0,7,7
24,BLACK,"(3,6) → (4,7)",0.5608232989998214,13789,7,0,7,7
25,WHITE,"(6,5) → (5,4)",0.5115422919998309,9501,6,0,7,7
26,BLACK,"(2,7) → (3,6)",0.5713448679998692,12886,8,0,7,7
27,WHITE,"(5,0) → (4,1)",0.50190192700029,9045,7,0,7,7
28,BLACK,"(1,4) → (2,3)",0.5309447120007462,13024,8,0,7,7
29,WHITE,"(5,2) → (4,3)",0.5462942869999097,10711,8,0,7,7
30,BLACK,"(2,3) → (6,3)",0.7559675410002455,19699,12,0,7,7
31,WHITE,"(7,2) → (5,4)",0.887254574000508,19038,11,0,5,7
32,BLACK,"(1,2) → (2,3)",0.7156719449994853,16992,10,0,5,6
33,WHITE,"(6,7) → (5,6)",0.6109175159999722,12057,9,0,5,6
34,BLACK,"(4,7) → (6,5)",0.6141070379999292,14104,11,0,5,6
35,WHITE,"(5,4) → (7,6)",0.7204325760003485,16159,10,0,4,6
36,BLACK,"(3,6) → (4,5)",0.5202453629999582,15653,9,0,4,5
37,WHITE,"(4,3) → (3,2)",0.5344492840004023,12962,9,0,4,5
38,BLACK,"(2,3) → (3,4)",0.7582052420002583,22159,10,0,4,5
39,WHITE,"(7,0) → (6,1)",0.5729245160000573,12382,8,0,4,5
40,BLACK,"(4,5) → (5,4)",0.5152433780003776,16524,10,0,4,5
41,WHITE,"(6,1) → (5,2)",0.5128188789994965,11429,8,0,4,5
42,BLACK,"(3,4) → (4,5)",0.6091293530007533,17203,9,0,4,5
43,WHITE,"(3,2) → (2,1)",0.5364292390004266,12475,8,0,4,5
44,BLACK,"(4,5) → (5,6)",0.5240566620004756,14663,8,0,4,5
45,WHITE,"(2,1) → (1,0)",0.7134414040001502,15448,9,0,4,5
46,BLACK,"(1,6) → (2,5)",0.5234079070005464,14496,9,0,4,5
47,WHITE,"(4,1) → (3,0)",0.5067736750006588,12165,9,0,4,5
48,BLACK,"(5,6) → (6,5)",0.5203391099994406,12899,9,0,4,5
49,WHITE,"(5,2) → (4,3)",0.6030132389996652,14840,10,0,4,5
50,BLACK,"(5,4) → (3,2)",0.6355637119995663,21486,15,0,4,5
51,WHITE,"(7,6) → (5,4)",0.5193563600005291,14310,13,0,3,5
52,BLACK,"(2,5) → (3,4)",0.6512951670001712,21927,14,0,3,4
53,WHITE,"(3,0) → (2,1)",0.861014275999878,22336,14,0,3,4
54,BLACK,"(3,4) → (4,3)",0.5712069129995143,21132,13,0,3,4
55,WHITE,"(5,4) → (4,5)",0.6819013899994388,16264,13,0,3,4
56,BLACK,"(3,2) → (4,1)",0.8013709609995203,22146,13,0,3,4
57,WHITE,"(4,5) → (3,6)",0.70916580300036,17275,12,0,3,4
58,BLACK,"(4,1) → (5,2)",0.6265019040001789,17849,12,0,3,4
59,WHITE,"(2,1) → (1,2)",0.7051211289999628,15990,11,0,3,4
60,BLACK,"(0,1) → (2,3)",1.2044634439998845,28833,13,0,3,4
61,WHITE,"(1,0) → (0,1)",2.0222995630001606,37780,11,0,2,4
62,BLACK,"(2,3) → (3,2)",1.5425024709993522,41208,11,0,2,4
63,WHITE,"(3,6) → (2,5)",0.6916164190006384,20128,8,0,2,4
64,BLACK,"(4,3) → (5,4)",0.8965571910002836,30028,9,0,2,4
65,WHITE,"(2,5) → (1,4)",0.601999290999629,14168,7,0,2,4
